Nemo,Planta Generadora,Potencia Disponible,Costo en US$/MWH ,FPNE
CAL-G,CALDERAS,0.0,0.0,1.0361204469616172
CGP-B,GENERADORA PROGRESO BUNKER,0.0,0.0,1.0324736139013413
CGP-D,GENERADORA PROGRESO DIESEL,0.0,0.0,1.0324736139013413
COE-D,COENESA,0.0,0.0,0.9821349966717808
CON-B,CONCEPCION ,0.0,0.0,1.001363461445748
DAR-B,DARSA,0.0,0.0,0.9839818726028605
ECR-D,"ELECTRO CRISTAL DIESEL 1,2",0.0,0.0,1.1468099644774035
ESC-G3,ESCUINTLA GAS 3,0.0,0.0,0.9861399703647106
ESC-V,ESCUINTLA  VAPOR  2,0.0,0.0,0.9865917031521826
HEL-H,HIDROELECTRICA EL LIBERTADOR,0.0,0.0,0.9819612219783282
INT-B,INTECCSA BUNKER,0.0,0.0,1.1468099644774035
INT-D,INTECCSA DIESEL,0.0,0.0,1.1468099644774035
LAG-G1,LAGUNA GAS 1,0.0,0.0,1.0209800412648238
LAG-G2,LAGUNA GAS 2,0.0,0.0,1.0209800412648238
LPA-B1,LAS PALMAS 1,0.0,0.0,0.9865917031521826
LPA-B2,LAS PALMAS 2,0.0,0.0,0.9865917031521826
LPA-B3,LAS PALMAS 3,0.0,0.0,0.9865917031521826
LPA-C,LAS PALMAS II,0.0,0.0,0.9865917031521826
LUN-B2,LA UNION BLOQUE 2,0.0,0.0,0.9565284287899617
MEX-I,ECOE,0.0,0.0,0.9676257469699875
PNT-B2,PANTALEON BLOQUE 2,0.0,0.0,0.9738959414474989
POR-H,EL PORVENIR,0.0,0.0,1.0627998886235095
PWT-B,POLIWATT ,0.0,0.0,0.9829676973911857
S&S-D,STEWART & STEVENSON,0.0,0.0,0.9879035768402838
SDI-B1,SAN DIEGO,0.0,0.0,1.0055495432770976
SID-B,SIDEGUA,0.0,0.0,0.988265746850291
TND-B1,TRINIDAD BLOQUE 1,0.0,0.0,0.9879035768402838
TND-B2,TRINIDAD BLOQUE 2,0.0,0.0,0.9879035768402838
MAG-B4,MAGDALENA BLOQUE 4,21.256310679611648,0.6437473810011369,0.9786447581662275
ZUN-G,ORZUNIL,17.445631067961166,1.058864433721594,0.9444079602195128
ORT-G,ORTITLAN,19.655339805825243,1.0662610362412455,0.9847494790782486
HXO-H,HIDROELECTRICA XOLHUITZ,2.1941747572815533,1.3593194492291312,1.0005006555090894
LCU-E,LAS CUMBRES,30.582524271844658,1.500305366818375,1.0197923928277328
HCV-H,HIDROELECTRICA CERRO VIVO,2.0514563106796118,1.5827311759438913,1.023547159885748
SNT-E1,SAN ANTONIO EL SITIO,51.262135922330096,1.5910066205970357,0.999367305840212
HIX-H,HIDROELECTRICA IXTALITO,1.5679611650485437,1.8890542345904835,1.0005006555090894
VBL-E,VIENTO BLANCO,22.42718446601942,1.92401579666812,0.9875178796818046
HRU-F1,HORUS 1,48.543689320388346,2.0580475282100523,0.9815128039131616
HRU-F2,HORUS 2,29.126213592233007,2.0886125905102015,0.9815128039131616
GSL-C,GENERADORA SANTA LUCIA ,4.748543689320388,2.1427259549942765,0.9800600002558935
HHS-H,HIDROELECTRICA HIDROPOWER SDMM,2.0223300970873788,2.366864980360443,1.0055495432770976
TND-B3,TRINIDAD BLOQUE 3,13.535922330097087,2.6217133541350965,0.9879035768402838
MTI-B,MADRE TIERRA,29.066990291262137,2.9283692319707577,0.9356743576205425
OX2-H,OXEC II,57.230097087378645,3.6589660733125164,0.9620203985147344
TND-B4,TRINIDAD BLOQUE 4,34.13980582524272,3.664325228559479,0.9879035768402838
TUL-B4,TULULA BLOQUE 4,9.889320388349514,4.661754239173799,0.9717371975410806
TND-B5,TRINIDAD BLOQUE 5,43.463106796116506,4.976167395398627,0.9324445162939102
BVT-B,BIOGAS DEL VERTEDERO EL TREBOL,0.7611650485436894,5.6458356274561705,1.0255346386357311
TUL-B1,TULULA BLOQUE 1,5.501941747572816,6.040727899326756,0.9717371975410806
HMA-H,HIDROELECTRICA MAXANAL,2.0038834951456312,6.0641869053969435,0.9976605428529391
HCR-H,HIDROELECTRICA CORALITO,1.8834951456310678,6.114304152548984,0.9976605428529391
RAA-H,RAAXHA,4.8757281553398055,6.318897487588189,1.0112523604871693
HPT-H,HIDROELECTRICA LOS PATOS,4.716504854368932,6.886552209697583,1.0005006555090894
OXE-H,OXEC,23.011650485436896,7.28185763908144,0.9530535124379934
LUN-B,LA UNION,49.907766990291265,7.532535414710836,0.9744394942591549
MTZ-H,MATANZAS,11.464077669902911,7.944714596634844,1.0019239713622476
SIS-H,HIDROELECTRICA SAN ISIDRO,1.6606796116504854,8.004599380026564,1.0019239713622476
ARI-V,ARIZONA VAPOR,1.8883495145631068,8.075623224917637,0.99063561748593
PGO-B,PALO GORDO,0.0,8.181623211591754,0.9729120730862114
CBN-H,EL COBANO,8.890291262135921,8.783315395193815,0.9905143568863067
HSM-H,HIDROELECTRICA EL SALTO MARINALA,4.795145631067961,8.906618918897477,1.007116177494475
MAG-B6,MAGDALENA BLOQUE 6,48.039805825242716,9.019066318672799,0.9779282786444692
MAG-B7,MAGDALENA BLOQUE 7,46.24951456310679,9.090646210090839,0.9779282786444692
CAN-H,HIDROCANADA,44.59029126213592,9.15742272125223,0.9314847921352228
MTO-H,MONTECRISTO,12.662135922330096,9.196033041786778,0.9275738746522196
PVE-H,POZA VERDE,9.629126213592231,9.709420405741113,0.9856407076926369
HST-H,HIDROELECTRICA SANTA TERESA,1.9009708737864077,9.735024487409817,1.0097560630394935
PVI-H,PALO VIEJO,85.62330097087377,9.99033686680031,0.9769440340329502
LFU-H,LAS FUENTES II,13.26893203883495,10.300201185151089,0.95435029115461
LVA-H,LAS VACAS,40.01844660194175,10.310262295017374,1.0397407644207695
PGO-B2,PALO GORDO BLOQUE 2,30.90873786407767,10.340091646810684,0.9729120730862114
REC-H,EL RECREO,24.571844660194174,10.414760582286785,0.9515341156142109
RE2-H,RENACE II ,104.0747572815534,10.711903279216411,0.9876862891889312
HAG-H,HIDROAGUNA,1.9951456310679612,10.778643221102836,0.9435324828350184
HUV-H,HIDROELECTRICA LAS UVITAS,1.7854368932038833,10.923370996593095,0.9859593712745882
FLO-H,FINCA LORENA,4.32621359223301,10.931044038643428,1.0099675713473837
XAD-H,HIDRO XACBAL DELTA,57.2747572815534,11.167890301411996,0.9715353309503941
VDA-H,VISION DE AGUILA,2.0213592233009705,11.226930978401539,1.012743377675849
AGU-H,AGUACAPA,78.91553398058252,11.478884602684332,0.9905143568863067
PAS-H,PASABIEN,12.233980582524273,11.645565456302284,1.0098264480266852
RE3-H,RENACE III,65.06407766990291,11.795243213881964,0.9876862891889312
PNT-B3,PANTALEON BLOQUE 3,49.373786407766985,11.91699879599417,0.9792734059789284
RC2-H,EL RECREO 2,21.344660194174757,12.264405246749423,0.9515341156142109
JUR-H,JURUN MARINALA,58.616504854368934,12.37893898482757,0.991199650877907
MNL-H1,EL MANANTIAL 1,3.158252427184466,12.44729926320953,0.952013746068196
MNL-H2,EL MANANTIAL 2,21.389320388349514,12.44729926320953,0.952013746068196
MNL-H3,EL MANANTIAL 3,0.42524271844660194,12.44729926320953,0.952013746068196
MNL-H4,EL MANANTIAL 4,12.509708737864077,12.44729926320953,0.952013746068196
REN-H,RENACE,63.26126213592232,12.570759829877847,0.9760746499059659
RBO-H,RIO BOBOS,10.009708737864077,12.620063590144955,1.0237666322132692
PNA-H,PANAN,7.302912621359224,12.65938990835019,0.9874093530964666
XAC-H,HIDROXACBAL,95.15339805825242,12.69125229644331,0.9715353309503941
PNT-B1,PANTALEON BLOQUE 1,24.110679611650486,12.958263262954897,0.9738959414474989
HKC-H,HIDROELECTRICA KAPLAN CHAPINA,1.645631067961165,13.14774981838149,0.9940864543777073
CND-H,CANDELARIA,4.286407766990291,13.242123181882679,0.9235679076549127
EPI-B1,EL PILAR BLOQUE 1,0.0,13.547111310209967,0.9610905012781062
EPI-B2,EL PILAR BLOQUE 2,0.0,13.547111310209967,0.9610905012781062
EPI-B3,EL PILAR BLOQUE 3,0.0,13.547111310209967,0.9610905012781062
LIB-H,HIDROELECTRICA LA LIBERTAD,9.217475728155339,13.648516496445515,0.9708014789336775
PAL-H,PALIN II,4.099029126213592,13.75464723076959,0.9916648367023823
CAF-H,EL CAFETAL,8.300970873786408,13.83597314175619,0.9916179989243988
MAG-B3,MAGDALENA BLOQUE 3,12.646601941747573,14.15222416962817,0.9786447581662275
HLP-H,HIDROELECTRICA LA PERLA,3.675728155339806,14.425126194350456,0.9760746499059659
SEC-H,SECACAO,15.665048543689322,15.450948307887638,0.9235679076549127
RE4-H,RENACE IV,49.741747572815534,15.713491388793827,0.9876862891889312
STS-H,SANTA TERESA,16.310679611650485,17.050873090113353,0.961827579932505
GAT-V1,GENERADORA DEL ATLANTICO VAPOR,0.3495145631067961,17.420722392062615,1.090081086915913
SMA-H,SANTA MARIA,5.853398058252427,17.644419733877978,0.9357066001042899
