Nemo,Planta Generadora,Potencia Disponible,Costo en US$/MWH ,FPNE
CAL-G,CALDERAS,0.0,0.0,1.0321062351469044
CGP-B,GENERADORA PROGRESO BUNKER,0.0,0.0,1.0363933964980416
CGP-D,GENERADORA PROGRESO DIESEL,0.0,0.0,1.0363933964980416
COE-D,COENESA,0.0,0.0,0.9713001003252006
CON-B,CONCEPCION ,0.0,0.0,0.9961074563191793
DAR-B,DARSA,0.0,0.0,0.9852885791025731
ECR-D,"ELECTRO CRISTAL DIESEL 1,2",0.0,0.0,1.277823424998664
ESC-G3,ESCUINTLA GAS 3,0.0,0.0,0.9801892949418096
ESC-V,ESCUINTLA  VAPOR  2,0.0,0.0,0.9829325282984007
HEL-H,HIDROELECTRICA EL LIBERTADOR,0.0,0.0,0.9968576344398419
INT-B,INTECCSA BUNKER,0.0,0.0,1.277823424998664
INT-D,INTECCSA DIESEL,0.0,0.0,1.277823424998664
LAG-G1,LAGUNA GAS 1,0.0,0.0,1.017023716535571
LAG-G2,LAGUNA GAS 2,0.0,0.0,1.017023716535571
LPA-B1,LAS PALMAS 1,0.0,0.0,0.9829325282984007
LPA-B2,LAS PALMAS 2,0.0,0.0,0.9829325282984007
LPA-B3,LAS PALMAS 3,0.0,0.0,0.9829325282984007
LPA-C,LAS PALMAS II,0.0,0.0,0.9829325282984007
LUN-B2,LA UNION BLOQUE 2,0.0,0.0,0.9535195661465676
MEX-I,ECOE,0.0,0.0,0.9673269845829398
PNT-B2,PANTALEON BLOQUE 2,0.0,0.0,0.9751436247302601
POR-H,EL PORVENIR,0.0,0.0,1.0703513990332818
PWT-B,POLIWATT ,0.0,0.0,0.9793220513542251
S&S-D,STEWART & STEVENSON,0.0,0.0,0.9827200809185679
SDI-B1,SAN DIEGO,0.0,0.0,1.0002698741759306
SID-B,SIDEGUA,0.0,0.0,0.9845948488510301
TND-B1,TRINIDAD BLOQUE 1,0.0,0.0,0.9827200809185679
TND-B2,TRINIDAD BLOQUE 2,0.0,0.0,0.9827200809185679
MAG-B4,MAGDALENA BLOQUE 4,21.256310679611648,0.645954493993243,0.9753009010052496
ZUN-G,ORZUNIL,17.445631067961166,1.0573396280048795,0.945769905443651
ORT-G,ORTITLAN,19.655339805825243,1.0746803266993172,0.9770347273638866
HXO-H,HIDROELECTRICA XOLHUITZ,2.1941747572815533,1.3394762860208906,1.0153221928549987
LCU-E,LAS CUMBRES,30.582524271844658,1.490648705564151,1.0263987714133869
HCV-H,HIDROELECTRICA CERRO VIVO,2.0514563106796118,1.5864563363050346,1.0211437673557981
SNT-E1,SAN ANTONIO EL SITIO,51.262135922330096,1.5974668574948914,0.9953258138284004
HIX-H,HIDROELECTRICA IXTALITO,1.5679611650485437,1.8614780739555021,1.0153221928549987
VBL-E,VIENTO BLANCO,22.42718446601942,1.9392020031081605,0.9797844664736693
HRU-F1,HORUS 1,48.543689320388346,2.02369976946553,0.9981717794697841
HRU-F2,HORUS 2,29.126213592233007,2.0537547165368,0.9981717794697841
GSL-C,GENERADORA SANTA LUCIA ,4.748543689320388,2.1382498036652016,0.9821116299883965
HHS-H,HIDROELECTRICA HIDROPOWER SDMM,2.0223300970873788,2.3793578727548463,1.0002698741759306
TND-B3,TRINIDAD BLOQUE 3,13.535922330097087,2.6355419516604113,0.9827200809185679
MTI-B,MADRE TIERRA,29.066990291262137,2.924619422094327,0.9368740354045381
OX2-H,OXEC II,57.230097087378645,3.668691467216628,0.959470162987176
TND-B4,TRINIDAD BLOQUE 4,34.13980582524272,3.6836532297338573,0.9827200809185679
TUL-B4,TULULA BLOQUE 4,9.889320388349514,4.673697804803514,0.9692539375019444
TND-B5,TRINIDAD BLOQUE 5,43.463106796116506,4.99471245285733,0.9289824076550374
BVT-B,BIOGAS DEL VERTEDERO EL TREBOL,0.7611650485436894,5.645827734729008,1.0255360723077238
TUL-B1,TULULA BLOQUE 1,5.501941747572816,6.056204440220006,0.9692539375019444
HMA-H,HIDROELECTRICA MAXANAL,2.0038834951456312,6.069048402651992,0.9968613856096997
HCR-H,HIDROELECTRICA CORALITO,1.8834951456310678,6.119205827467298,0.9968613856096997
RAA-H,RAAXHA,4.8757281553398055,6.193140352607219,1.0317867246961239
HPT-H,HIDROELECTRICA LOS PATOS,4.716504854368932,6.786023243149953,1.0153221928549987
OXE-H,OXEC,23.011650485436896,7.342242696522127,0.9452152818766586
LUN-B,LA UNION,49.907766990291265,7.556300377585413,0.9713748307006118
MTZ-H,MATANZAS,11.464077669902911,7.933765784858737,1.0033066535933453
SIS-H,HIDROELECTRICA SAN ISIDRO,1.6606796116504854,7.993568039518476,1.0033066535933453
ARI-V,ARIZONA VAPOR,1.8883495145631068,8.106854769537053,0.9868192076243207
PGO-B,PALO GORDO,0.0,8.191212806411023,0.9717730680577532
CBN-H,EL COBANO,8.890291262135921,8.822687399243797,0.9860941010723883
HSM-H,HIDROELECTRICA EL SALTO MARINALA,4.795145631067961,8.953611444418932,1.0018303849438635
MAG-B6,MAGDALENA BLOQUE 6,48.039805825242716,9.049947744928433,0.9745912626890807
MAG-B7,MAGDALENA BLOQUE 7,46.24951456310679,9.12177272703104,0.9745912626890807
CAN-H,HIDROCANADA,44.59029126213592,9.139580536072499,0.9333032261528218
MTO-H,MONTECRISTO,12.662135922330096,9.218134513814531,0.9253499162131692
HST-H,HIDROELECTRICA SANTA TERESA,1.9009708737864077,9.597849369340691,1.0241877760033293
PVE-H,POZA VERDE,9.629126213592231,9.781608868055457,0.9783666602386316
PVI-H,PALO VIEJO,85.62330097087377,9.995232219561242,0.97646555733834
PGO-B2,PALO GORDO BLOQUE 2,30.90873786407767,10.35221115986117,0.9717730680577532
LFU-H,LAS FUENTES II,13.26893203883495,10.405139534688455,0.9447254375810084
REC-H,EL RECREO,24.571844660194174,10.445143774478002,0.9487662605673663
LVA-H,LAS VACAS,40.01844660194175,10.63039937507802,1.0084287167170822
RE2-H,RENACE II ,104.0747572815534,10.72427003001438,0.9865473333279929
HAG-H,HIDROAGUNA,1.9951456310679612,10.756165254710526,0.945504253529963
FLO-H,FINCA LORENA,4.32621359223301,10.883711109320354,1.014359889665374
HUV-H,HIDROELECTRICA LAS UVITAS,1.7854368932038833,10.900569614428484,0.9880217622521619
VDA-H,VISION DE AGUILA,2.0213592233009705,11.0034638584999,1.0333109779078302
XAD-H,HIDRO XACBAL DELTA,57.2747572815534,11.185591585173324,0.9699978688996516
AGU-H,AGUACAPA,78.91553398058252,11.53033973901172,0.9860941010723883
RE3-H,RENACE III,65.06407766990291,11.80886066632018,0.9865473333279929
PAS-H,PASABIEN,12.233980582524273,11.910558104753859,0.9873592737275874
PNT-B3,PANTALEON BLOQUE 3,49.373786407766985,11.952497726478562,0.9763649629606086
RC2-H,EL RECREO 2,21.344660194174757,12.3001844448192,0.9487662605673663
JUR-H,JURUN MARINALA,58.616504854368934,12.418643167715077,0.9880306434682408
RBO-H,RIO BOBOS,10.009708737864077,12.43092778157947,1.0393431791266017
REN-H,RENACE,63.26126213592232,12.585930932613522,0.9748980878486422
MNL-H1,EL MANANTIAL 1,3.158252427184466,12.606718581930906,0.9399749762784818
MNL-H2,EL MANANTIAL 2,21.389320388349514,12.606718581930906,0.9399749762784818
MNL-H3,EL MANANTIAL 3,0.42524271844660194,12.606718581930906,0.9399749762784818
MNL-H4,EL MANANTIAL 4,12.509708737864077,12.606718581930906,0.9399749762784818
PNA-H,PANAN,7.302912621359224,12.68152792204552,0.9856856426795424
XAC-H,HIDROXACBAL,95.15339805825242,12.711368133196967,0.9699978688996516
PNT-B1,PANTALEON BLOQUE 1,24.110679611650486,12.941683337663093,0.9751436247302601
HKC-H,HIDROELECTRICA KAPLAN CHAPINA,1.645631067961165,13.222516507974913,0.988465394776938
CND-H,CANDELARIA,4.286407766990291,13.3320256699324,0.9173399678926671
EPI-B1,EL PILAR BLOQUE 1,0.0,13.586605820851705,0.9582967351579361
EPI-B2,EL PILAR BLOQUE 2,0.0,13.586605820851705,0.9582967351579361
EPI-B3,EL PILAR BLOQUE 3,0.0,13.586605820851705,0.9582967351579361
LIB-H,HIDROELECTRICA LA LIBERTAD,9.217475728155339,13.735154794103597,0.9646778793995194
CAF-H,EL CAFETAL,8.300970873786408,13.836351729972906,0.9915908664188654
PAL-H,PALIN II,4.099029126213592,13.864944224569896,0.9837760454765281
MAG-B3,MAGDALENA BLOQUE 3,12.646601941747573,14.200745621914946,0.9753009010052496
HLP-H,HIDROELECTRICA LA PERLA,3.675728155339806,14.442535251116412,0.9748980878486422
SEC-H,SECACAO,15.665048543689322,15.555846795579338,0.9173399678926671
RE4-H,RENACE IV,49.741747572815534,15.731632406977614,0.9865473333279929
GAT-V1,GENERADORA DEL ATLANTICO VAPOR,0.3495145631067961,16.536076807597567,1.1483981491471402
STS-H,SANTA TERESA,16.310679611650485,17.101136621629927,0.9590005835785727
SMA-H,SANTA MARIA,5.853398058252427,17.593866284492574,0.938395218710517
SAA-B,SANTA ANA,20.75242718446602,17.974425447152353,0.9786126433758552
HGY-H,HIDROELECTRICA GUAYACAN,2.79126213592233,19.05900828307088,0.9921817399490174
CHO-H,CHOLOMA,9.371844660194174,20.177906390061217,0.9173399678926671
LES-H,LOS ESCLAVOS,13.109708737864077,20.59454887691448,0.9755008531660503
ACG-G,ACTUN CAN GENERACION,0.0,26.083416024428296,1.277823424998664
SAL-H,EL SALTO,3.470873786407767,29.784178435135875,0.9860940117573539
VITO_503,"VITOL ELECTRICIDAD DE GUATEMALA, S. A.",24.0,50.77910653053677,0.9673269845829398
