Nemo,Planta Generadora,Potencia Disponible,Costo en US$/MWH ,FPNE
CAL-G,CALDERAS,0.0,0.0,1.0388416867853323
CGP-B,GENERADORA PROGRESO BUNKER,0.0,0.0,1.0304576784633543
CGP-D,GENERADORA PROGRESO DIESEL,0.0,0.0,1.0304576784633543
COE-D,COENESA,0.0,0.0,0.9842788529420505
CON-B,CONCEPCION ,0.0,0.0,1.005894985584097
DAR-B,DARSA,0.0,0.0,0.9744826296646057
ECR-D,"ELECTRO CRISTAL DIESEL 1,2",0.0,0.0,1.1386980599308716
ESC-G3,ESCUINTLA GAS 3,0.0,0.0,0.9884928678177787
ESC-V,ESCUINTLA  VAPOR  2,0.0,0.0,0.9895483575409469
HEL-H,HIDROELECTRICA EL LIBERTADOR,0.0,0.0,1.008696321234579
INT-B,INTECCSA BUNKER,0.0,0.0,1.1386980599308716
INT-D,INTECCSA DIESEL,0.0,0.0,1.1386980599308716
LAG-G1,LAGUNA GAS 1,0.0,0.0,1.023659753259831
LAG-G2,LAGUNA GAS 2,0.0,0.0,1.023659753259831
LPA-B1,LAS PALMAS 1,0.0,0.0,0.9895483575409469
LPA-B2,LAS PALMAS 2,0.0,0.0,0.9895483575409469
LPA-B3,LAS PALMAS 3,0.0,0.0,0.9895483575409469
LPA-C,LAS PALMAS II,0.0,0.0,0.9895483575409469
LUN-B2,LA UNION BLOQUE 2,0.0,0.0,0.9564274859450372
MEX-I,ECOE,0.0,0.0,0.9666479996118278
PNT-B2,PANTALEON BLOQUE 2,0.0,0.0,0.9647806415838056
POR-H,EL PORVENIR,0.0,0.0,1.0679061102310756
PWT-B,POLIWATT ,0.0,0.0,0.9859032369566102
S&S-D,STEWART & STEVENSON,0.0,0.0,0.9923777139633562
SDI-B1,SAN DIEGO,0.0,0.0,1.0100973573173655
SID-B,SIDEGUA,0.0,0.0,0.9912155202280368
TND-B1,TRINIDAD BLOQUE 1,0.0,0.0,0.9923777139633562
TND-B2,TRINIDAD BLOQUE 2,0.0,0.0,0.9923777139633562
MAG-B4,MAGDALENA BLOQUE 4,21.256310679611648,0.643166272266689,0.9795289758894111
ZUN-G,ORZUNIL,17.445631067961166,1.0543805596549394,0.9484241632141471
